Date,Open,High,Low,Close,Volume
22-Apr-08,1799.72,1803.35,1785.47,1787.49,346340000
21-Apr-08,1793.19,1802.81,1791.40,1800.48,298807000
18-Apr-08,1772.89,1778.81,1762.94,1771.90,237503000
17-Apr-08,1782.51,1783.85,1765.59,1768.67,264967000
16-Apr-08,1757.83,1765.81,1753.79,1758.56,286264000
15-Apr-08,1749.29,1754.30,1734.13,1742.17,238398000
14-Apr-08,1746.88,1755.28,1739.03,1746.71,223392000
11-Apr-08,1768.13,1779.92,1759.29,1779.71,272276000
10-Apr-08,1745.60,1764.64,1735.78,1764.64,214855000
8-Apr-08,1770.98,1770.98,1749.64,1754.71,267176000
7-Apr-08,1769.74,1786.57,1763.38,1773.56,275214000
4-Apr-08,1762.94,1768.06,1756.74,1766.49,256527000
3-Apr-08,1745.72,1765.53,1742.43,1763.63,253460000
2-Apr-08,1738.64,1743.54,1734.42,1742.19,326394000
1-Apr-08,1701.64,1717.83,1694.53,1702.25,320298000
31-Mar-08,1705.17,1709.31,1685.19,1703.99,291623000
28-Mar-08,1671.06,1704.28,1670.89,1701.83,350401000
27-Mar-08,1671.98,1677.31,1660.45,1676.24,257784000
26-Mar-08,1676.81,1681.91,1670.31,1679.67,280349000
25-Mar-08,1676.74,1680.77,1667.93,1674.93,319844000
24-Mar-08,1653.82,1663.57,1645.89,1655.30,257970000
21-Mar-08,1644.05,1645.78,1634.51,1645.69,283793000
20-Mar-08,1602.29,1624.48,1592.94,1623.39,243274000
19-Mar-08,1626.28,1632.68,1614.96,1622.23,280206000
18-Mar-08,1585.32,1590.28,1566.96,1588.75,242939000
17-Mar-08,1588.53,1588.53,1537.53,1574.44,298577000
14-Mar-08,1637.78,1638.66,1578.45,1600.26,297474000
13-Mar-08,1657.21,1657.21,1609.17,1615.62,309352000
12-Mar-08,1685.44,1687.63,1658.17,1658.83,325010000
11-Mar-08,1605.31,1643.66,1602.35,1641.48,279547000
10-Mar-08,1634.42,1650.56,1621.40,1625.17,317331000
7-Mar-08,1682.17,1682.17,1650.74,1663.97,303179000
6-Mar-08,1681.39,1705.97,1680.11,1697.44,359534000
5-Mar-08,1680.63,1687.20,1667.87,1677.10,263472000
4-Mar-08,1677.10,1686.59,1665.10,1676.18,278438000
3-Mar-08,1676.30,1676.30,1657.79,1671.73,236968000
29-Feb-08,1717.69,1721.85,1708.21,1711.62,315739000
28-Feb-08,1726.08,1739.60,1713.25,1736.17,257261000
27-Feb-08,1725.96,1732.80,1715.81,1720.89,305927000
26-Feb-08,1724.55,1726.47,1704.50,1709.13,283519000
25-Feb-08,1701.75,1715.00,1701.64,1709.13,299064000
22-Feb-08,1687.63,1687.63,1670.69,1686.45,281283000
21-Feb-08,1708.01,1713.64,1694.58,1704.36,241750000
20-Feb-08,1704.66,1718.15,1683.70,1687.91,321441000
19-Feb-08,1717.10,1722.71,1708.93,1720.52,362676000
18-Feb-08,1701.75,1714.20,1681.02,1696.24,373768000
15-Feb-08,1672.39,1696.37,1668.41,1694.77,485305000
14-Feb-08,1660.45,1697.45,1660.45,1697.45,503614000
13-Feb-08,1663.29,1663.95,1629.57,1631.78,318175000
12-Feb-08,1653.60,1654.62,1641.05,1643.29,290868000
11-Feb-08,1648.51,1651.72,1633.46,1640.67,234176000
5-Feb-08,1686.20,1697.99,1680.39,1696.57,253749000
4-Feb-08,1655.78,1696.56,1655.78,1690.13,332875000
1-Feb-08,1645.05,1648.97,1619.65,1634.53,307770000
31-Jan-08,1582.19,1630.12,1570.87,1624.68,333838000
30-Jan-08,1653.00,1653.20,1578.29,1589.06,379665000
29-Jan-08,1657.90,1662.90,1622.52,1637.91,274494000
28-Jan-08,1668.07,1674.47,1620.90,1627.19,258522000
25-Jan-08,1682.93,1692.66,1674.21,1692.41,271901000
24-Jan-08,1663.36,1675.69,1649.00,1663.00,269449000
23-Jan-08,1652.62,1659.28,1604.54,1628.42,271753000
22-Jan-08,1628.92,1636.06,1578.37,1609.02,316573000
21-Jan-08,1723.95,1724.39,1673.42,1683.56,285718000
18-Jan-08,1689.28,1737.42,1684.39,1734.72,287435000
17-Jan-08,1726.03,1732.64,1687.10,1723.55,295559000
16-Jan-08,1715.97,1735.51,1701.32,1704.97,295410000
15-Jan-08,1781.53,1781.53,1723.14,1746.95,295162000
14-Jan-08,1781.00,1790.69,1754.13,1765.88,249056000
11-Jan-08,1844.57,1847.11,1776.26,1782.27,280217000
10-Jan-08,1847.94,1855.07,1824.78,1824.78,315250000
9-Jan-08,1802.06,1844.47,1794.15,1844.47,277193000
8-Jan-08,1838.64,1840.62,1818.69,1826.23,295929000
7-Jan-08,1815.73,1840.99,1814.35,1831.14,267839000
4-Jan-08,1853.54,1869.76,1824.41,1863.90,298548000
3-Jan-08,1834.44,1858.08,1821.61,1852.73,252817000
2-Jan-08,1891.45,1892.50,1852.78,1853.45,246844000
28-Dec-07,1892.56,1911.67,1890.81,1897.13,229103000
27-Dec-07,1901.93,1915.19,1891.29,1908.62,235609000
26-Dec-07,1924.91,1926.09,1901.91,1906.72,260499000
24-Dec-07,1899.20,1921.39,1894.79,1919.47,315755000
21-Dec-07,1855.06,1878.32,1832.34,1878.32,361161000
20-Dec-07,1878.59,1882.61,1843.73,1844.37,401470000
18-Dec-07,1821.30,1869.71,1808.86,1861.47,276619000
17-Dec-07,1873.15,1886.39,1839.58,1839.82,281982000
14-Dec-07,1914.47,1921.53,1877.27,1895.05,300312000
13-Dec-07,1921.65,1937.50,1897.25,1915.90,328006000
12-Dec-07,1887.50,1928.77,1887.23,1927.45,313785000
11-Dec-07,1922.66,1929.71,1904.21,1925.07,263918000
10-Dec-07,1930.36,1935.86,1900.95,1906.42,283886000
7-Dec-07,1969.49,1969.56,1934.32,1934.32,360147000
6-Dec-07,1965.89,1972.37,1946.13,1953.17,338333000
5-Dec-07,1911.92,1945.03,1905.65,1938.20,309591000
4-Dec-07,1904.33,1921.83,1901.51,1917.83,287673000
3-Dec-07,1907.95,1912.71,1888.08,1902.43,290587000
30-Nov-07,1886.58,1918.12,1884.92,1906.00,337684000
29-Nov-07,1885.32,1891.45,1871.59,1877.56,344979000
28-Nov-07,1881.86,1883.99,1833.80,1834.69,323304000
27-Nov-07,1813.09,1865.69,1787.95,1859.79,331824000
26-Nov-07,1803.76,1855.33,1795.00,1855.33,288563000
23-Nov-07,1806.02,1820.61,1745.26,1772.88,326672000
22-Nov-07,1790.25,1815.33,1771.39,1799.02,306221000
21-Nov-07,1865.91,1875.98,1803.77,1806.99,307454000
20-Nov-07,1853.41,1875.46,1819.18,1872.24,331755000
19-Nov-07,1936.38,1936.50,1892.87,1893.47,292323000
16-Nov-07,1916.88,1928.93,1890.25,1926.20,304256000
15-Nov-07,1970.13,1985.38,1932.03,1947.74,367679000
14-Nov-07,1982.93,1984.84,1956.90,1972.58,362093000
13-Nov-07,1928.78,1935.93,1887.76,1932.89,394895000
12-Nov-07,1957.78,1957.78,1901.87,1923.42,312693000
9-Nov-07,2001.11,2017.37,1968.86,1990.47,366607000
8-Nov-07,2009.64,2022.61,1971.95,1979.56,330635000
7-Nov-07,2074.18,2085.03,2043.19,2043.19,339566000
6-Nov-07,2023.41,2055.53,2020.24,2054.24,312248000
5-Nov-07,2025.04,2027.21,1992.24,2015.76,300209000
2-Nov-07,2014.65,2049.62,2014.65,2019.34,388387000
1-Nov-07,2085.33,2085.45,2048.68,2063.14,401962000
31-Oct-07,2052.60,2065.53,2043.93,2064.85,365438000
